tags,data,stamps
15,0.01220703125,1737571701.168
4,0.395965576171875,1737571701.168
5,0.34698486328125,1737571701.168
6,0.377197265625,1737571701.168
8,0.02252197265625,1737571701.168
9,0.01776123046875,1737571701.168
10,0.017852783203125,1737571701.168
11,242.04913330078125,1737571701.168
12,226.53121948242188,1737571701.168
13,351.829833984375,1737571701.168
14,221.30584716796875,1737571701.168
1,27.632353515624995,1737571701.168
3,-25.016821289062506,1737571701.168
7,2002.0,1737571701.168
16,-32.46001052856445,1737571701.169
17,-32.19248580932617,1737571701.169
2,0.0140380859375,1737571701.235
15,0.0140380859375,1737571701.235
4,0.39459228515625,1737571701.235
5,0.33966064453125,1737571701.235
6,0.379486083984375,1737571701.235
8,0.022705078125,1737571701.235
9,0.017791748046875,1737571701.235
10,0.017913818359375,1737571701.235
11,241.9442138671875,1737571701.235
12,226.53121948242188,1737571701.235
13,351.8822937011719,1737571701.235
14,221.30584716796875,1737571701.235
1,27.62783203124999,1737571701.235
3,-24.989355468750006,1737571701.235
7,2002.0,1737571701.235
16,-32.46001052856445,1737571701.235
17,-32.17499923706055,1737571701.235
2,0.01800537109375,1737571701.301
15,0.01800537109375,1737571701.301
4,0.394134521484375,1737571701.301
5,0.347442626953125,1737571701.301
6,0.3790283203125,1737571701.301
8,0.0225830078125,1737571701.301
9,0.017913818359375,1737571701.301
10,0.0179443359375,1737571701.301
11,242.11907958984375,1737571701.301
12,226.53121948242188,1737571701.301
13,351.8822937011719,1737571701.301
14,221.30584716796875,1737571701.301
1,27.618789062499996,1737571701.301
3,-24.989355468750006,1737571701.301
7,2002.0,1737571701.301
16,-32.46001052856445,1737571701.302
17,-32.23270034790039,1737571701.302
2,0.0982666015625,1737571702.101
15,0.0982666015625,1737571702.101
4,0.39093017578125,1737571702.101
5,0.344696044921875,1737571702.101
6,0.37628173828125,1737571702.101
8,0.022796630859375,1737571702.101
9,0.017669677734375,1737571702.101
10,0.017913818359375,1737571702.101
11,241.83929443359375,1737571702.101
12,226.53121948242188,1737571702.101
13,351.8822937011719,1737571702.101
14,221.30584716796875,1737571702.101
1,27.636875,1737571702.101
3,-24.975622558593756,1737571702.101
7,2002.0,1737571702.101
16,-32.46001052856445,1737571702.102
17,-32.21521759033203,1737571702.102
2,0.00579833984375,1737571702.168
15,0.00579833984375,1737571702.168
4,0.399169921875,1737571702.168
5,0.345611572265625,1737571702.168
6,0.37628173828125,1737571702.168
8,0.022674560546875,1737571702.168
9,0.017822265625,1737571702.168
10,0.01788330078125,1737571702.168
11,241.90924072265625,1737571702.168
12,226.53121948242188,1737571702.168
13,351.829833984375,1737571702.168
14,221.30584716796875,1737571702.168
1,27.623310546875,1737571702.168
3,-25.007666015625006,1737571702.168
7,2002.0,1737571702.168
16,-32.46001052856445,1737571702.169
17,-32.22220993041992,1737571702.169
2,-0.00244140625,1737571702.235
15,-0.00244140625,1737571702.235
4,0.391845703125,1737571702.235
5,0.347442626953125,1737571702.235
6,0.380859375,1737571702.235
8,0.02264404296875,1737571702.235
9,0.017913818359375,1737571702.235
10,0.01788330078125,1737571702.235
11,241.99667358398438,1737571702.235
12,226.53121948242188,1737571702.235
13,351.7598876953125,1737571702.235
